subject_id,con,update,wgt_pun,wgt_rew
1,-0.292324,0.130718,0.0813005,0.0574961
2,-0.843486,0.0293525,0.00237946,0.0935348
3,-0.269056,0.0648974,0.0319557,0.0574968
4,-0.717779,0.195705,0.0436451,0.282192
5,-0.760051,0.0442661,0.0405252,0.189627
6,-0.683535,0.21171,0.00777229,0.195534
7,-0.40167,0.0685485,0.00515716,0.132567
8,-0.530398,0.00917346,0.0746876,0.0676402
9,-0.422515,0.0922959,0.0138964,0.194888
10,-0.514827,0.025384,0.00739916,0.0957131
11,-0.0788613,0.0613048,0.0110034,0.104735
12,-0.491528,0.0384878,0.0197775,0.0285171
13,-0.272053,0.0214763,0.00388056,0.0506544
14,-0.587737,0.112397,0.0333684,0.104081
15,-0.0341778,0.117077,0.0247785,0.270835
16,0.0555113,0.0589856,0.028685,0.0618063
17,-0.53982,0.0659857,0.0484067,0.0670493
18,-0.46548,0.0177875,0.0371955,0.0779373
19,-0.48873,0.0213296,0.0101431,0.0598901
20,-0.37281,0.246028,0.0312708,0.083106
21,-0.510396,0.0477621,0.0116105,0.0470675
22,-0.524777,0.155706,0.0158052,0.0551973
23,-0.247532,0.115887,0.00788764,0.0758854
24,-0.578817,0.117215,0.0097903,0.0454796
25,-0.576589,0.0521461,0.0676495,0.0979624
26,-0.526798,0.0836357,0.0333494,0.121113
27,-0.380808,0.0439597,0.00779941,0.163052
28,-0.120939,0.0265443,0.0134512,0.334769
29,-0.487598,0.0267027,0.00540296,0.0684852
30,-0.0175615,0.0965406,0.0550122,0.195767
31,-0.133049,0.185201,0.00841457,0.122237
32,-0.61076,0.158582,0.00355348,0.0987836
33,-0.331239,0.155287,0.00415797,0.140805
34,-0.859821,0.0386466,0.133878,0.0982342
35,-0.734863,0.138979,0.0113933,0.060606
36,-0.782712,0.0501831,0.0180147,0.0773395
37,-0.137893,0.0392328,0.00499988,0.165742
38,-0.28688,0.0729425,0.0227012,0.0885445
39,-0.701844,0.0840796,0.0158405,0.0641779
40,-0.268993,0.0685442,0.0253632,0.0439427
41,-0.156281,0.00924053,0.00726401,0.0848927
42,-0.090257,0.146808,0.00483021,0.19359
43,-0.386826,0.0308895,0.0258673,0.0710398
44,-0.313303,0.442779,0.00669872,0.0826963
45,-0.345767,0.0123185,0.00663383,0.0547305
46,-0.370319,0.0766224,0.036533,0.159531
47,-0.262351,0.0361542,0.0245876,0.337959
48,-0.117906,0.0707755,0.0857113,0.160068
49,-0.35889,0.030857,0.0064725,0.0894081
50,-0.314662,0.00977489,0.00543616,0.0753624
51,-0.678614,0.123969,0.0278921,0.0763796
52,-0.622267,0.113548,0.0322689,0.0321755
53,-0.766977,0.0322336,0.0215269,0.034675
54,-0.477957,0.0227385,0.0182935,0.114457
55,-0.568761,0.0592427,0.0523909,0.189992
56,-0.373714,0.248051,0.0258902,0.347217
57,-0.0381816,0.102332,0.0311931,0.105707
58,-0.835024,0.0497648,0.0109944,0.0482191
59,-0.126032,0.0163288,0.00668875,0.0740002
60,0.0318585,0.211936,0.00392785,0.173993
61,-0.59679,0.0559381,0.00954053,0.115397
62,-0.482575,0.108189,0.00679136,0.112247
63,-0.0457127,0.114399,0.00300965,0.0489002
64,0.0819452,0.0578235,0.0236134,0.10367
65,-0.402987,0.00579333,0.0504611,0.0108661
66,-0.73522,0.0446718,0.00967509,0.116817
67,-0.0171431,0.127811,0.00612992,0.123689
68,-0.354017,0.302345,0.0116979,0.0824212
69,-0.427855,0.0272947,0.0101248,0.088373
70,-1.06948,0.0105633,0.0061668,0.0472137
71,-0.134006,0.0101052,0.0150929,0.177858
72,-0.530837,0.108899,0.0109965,0.323656
73,-0.691833,0.0424213,0.026148,0.195674
74,-0.378423,0.0482564,0.0109185,0.0844604
75,-0.398164,0.037676,0.0261982,0.129798
76,-0.267529,0.0640099,0.00106671,0.0446752
77,-0.163182,0.11821,0.00155393,0.213684
78,-0.0687444,0.0564408,0.0132448,0.393477
79,-0.52901,0.0699814,0.0250717,0.0126126
80,-0.585082,0.0759236,0.0312501,0.0898341
81,-0.358915,0.0492583,0.0193878,0.114387
82,-0.506761,0.212574,0.00749615,0.0665179
83,-0.87345,0.0888226,0.0209186,0.205532
84,-0.203478,0.00740981,0.0171443,0.298276
85,0.216819,0.0397348,0.0200765,0.0806663
86,-0.501303,0.0523655,0.0199913,0.108487
87,-0.525781,0.0812853,0.0297265,0.107273
88,-0.887178,0.0646663,0.0030744,0.131177
89,-0.333428,0.0290013,0.00744809,0.135378
90,-0.447412,0.117773,0.00810674,0.301127
91,-0.254463,0.0538468,0.0359403,0.0733589
92,0.181112,0.08014,0.0398984,0.126396
93,-0.309946,0.201403,0.00295258,0.0845486
94,-0.198502,0.0639602,0.0149436,0.0454343
95,0.426009,0.0271506,0.0190365,0.063883
96,-0.52387,0.00974733,0.0300202,0.0741183
97,-0.609759,0.0110137,0.00961434,0.125325
98,-0.114576,0.0521375,0.00235283,0.115573
99,-0.398763,0.196524,0.00718025,0.18325
100,-0.763926,0.00812255,0.0057971,0.0253389
