subject_id,con,update,wgt_pun,wgt_rew
1,-0.30059,0.226959,0.0218109,0.192602
2,-0.08128,0.156209,0.0159666,0.169863
3,-0.358232,0.0398112,0.0216046,0.0912908
4,0.144287,0.116744,0.0358377,0.0978148
5,-0.191759,0.121199,0.0564853,0.147251
6,-0.0579353,0.0649736,0.0283123,0.139804
7,-0.55055,0.222816,0.0142069,0.154233
8,-0.112394,0.046427,0.0354796,0.169972
9,-0.346008,0.0650556,0.0654521,0.0710487
10,-0.262741,0.0349664,0.120895,0.0676343
11,-0.219806,0.100699,0.0546517,0.106787
12,-0.335121,0.0510077,0.0431969,0.0854029
13,-0.45641,0.23268,0.0218928,0.149958
14,-0.464247,0.0323291,0.0284149,0.0766643
15,-0.366829,0.0978042,0.0351852,0.15252
16,-0.274652,0.156247,0.0258383,0.147661
17,-0.478025,0.103919,0.0236765,0.121753
18,-0.337941,0.0995688,0.0447859,0.17011
19,-0.206315,0.072398,0.0336365,0.108522
20,-0.422297,0.113473,0.0453872,0.199802
21,-0.0972193,0.0616839,0.07703,0.114613
22,0.13661,0.13238,0.0376419,0.289453
23,-0.104801,0.0604819,0.04966,0.128926
24,-0.162685,0.150856,0.0122516,0.141357
25,-0.294357,0.0511974,0.0160999,0.100681
26,-0.127852,0.0979118,0.0435564,0.146919
27,0.0150964,0.0979329,0.0328258,0.116332
28,-0.228369,0.206802,0.0506078,0.283064
29,-0.495982,0.0926474,0.0360629,0.0860852
30,-0.400009,0.155237,0.0429511,0.0940236
31,-0.38984,0.0725706,0.0339423,0.0963895
32,-0.468023,0.046308,0.0217809,0.0908011
33,-0.246132,0.146941,0.019246,0.125938
34,-0.275248,0.0355808,0.0312116,0.0999445
35,-0.158054,0.114364,0.0151882,0.260506
36,-0.235282,0.0378192,0.0522046,0.0824673
37,-0.393921,0.0273256,0.063557,0.074018
38,-0.402192,0.18341,0.0479052,0.20662
39,-0.502553,0.100479,0.035501,0.144873
40,-0.00493221,0.142944,0.0459249,0.128892
41,-0.373597,0.056087,0.0278086,0.0884695
42,-0.346008,0.0650556,0.0654521,0.0710487
43,-0.23721,0.558024,0.00560705,0.222445
44,-0.34206,0.143424,0.0412844,0.129096
45,-0.55654,0.196999,0.0476238,0.0937176
46,-0.167221,0.21951,0.0380682,0.239852
47,-0.215821,0.0486513,0.0372909,0.115611
48,-0.462242,0.0663094,0.0606015,0.10693
49,-0.402772,0.0943475,0.0599743,0.0820212
50,-0.468391,0.106172,0.0268373,0.079526
51,-0.350792,0.0291824,0.0648602,0.0779025
52,-0.566838,0.223657,0.0218459,0.158635
53,-0.211341,0.059053,0.0316815,0.0960091
54,-0.470201,0.155481,0.040878,0.10567
55,-0.405548,0.0244285,0.0935738,0.106175
56,-0.17349,0.166324,0.0328363,0.129216
57,-0.666261,0.3385,0.0317797,0.10778
58,-0.342285,0.106888,0.0380564,0.105561
59,-0.274193,0.522311,0.0361109,0.144181
60,-0.421159,0.0362511,0.0522119,0.101406
61,-0.383857,0.0725263,0.0354073,0.132732
62,-0.121308,0.0682153,0.0520934,0.109707
63,-0.325604,0.114252,0.0242995,0.146772
64,-0.12977,0.0458915,0.0268834,0.125358
65,0.00714888,0.101154,0.0630087,0.0956965
66,-0.334352,0.0578708,0.0298429,0.115663
67,-0.377445,0.0909727,0.112773,0.100119
68,-0.226846,0.129854,0.0605294,0.164889
69,0.446822,0.125363,0.047382,0.300402
70,-0.171073,0.219052,0.0308735,0.233747
71,-0.248773,0.0621526,0.0699635,0.103964
72,-0.01545,0.0545579,0.0596214,0.112857
73,0.0920013,0.117506,0.0787807,0.303565
74,-0.389322,0.122779,0.0391607,0.100215
75,-0.377344,0.0457762,0.0629939,0.0962996
76,-0.135618,0.0737416,0.0525165,0.0971137
77,-0.137964,0.0842406,0.0568768,0.0968521
78,-0.113684,0.0856254,0.0543069,0.158358
79,-0.435153,0.0348059,0.0886231,0.0647429
80,-0.112481,0.0825343,0.0318455,0.105499
81,-0.319296,0.0890883,0.0806418,0.0815363
82,-0.235356,0.0538018,0.0586357,0.0883577
83,-0.302489,0.0373759,0.0330776,0.0931926
84,0.0216982,0.0915651,0.0282419,0.114515
85,0.0685633,0.051372,0.0439959,0.129128
86,-0.170392,0.226739,0.0179714,0.123843
87,-0.475451,0.0560034,0.0448888,0.0944324
88,-0.558334,0.100191,0.0369772,0.0814243
89,0.367906,0.0597021,0.0641453,0.204429
90,-0.427843,0.0943976,0.0596424,0.114223
91,0.000296101,0.0304844,0.0176403,0.126914
92,-0.432495,0.178344,0.0383639,0.199156
93,-0.0380567,0.148943,0.0275614,0.163834
94,-0.425894,0.0821423,0.0220975,0.12561
95,0.196375,0.0682469,0.0511015,0.125958
96,-0.429176,0.0942489,0.0600973,0.0970774
97,-0.493586,0.151247,0.0194932,0.162344
98,-0.673911,0.103526,0.0205921,0.128876
99,-0.171966,0.0475072,0.0348336,0.132767
100,-0.24787,0.109458,0.0556631,0.105982
